x,y,z,peakV_mps,log_argmax_hits,is_blowup
609544.000,3700400.000,-62.200,14.0306,226,0
514396.000,3768030.000,-3204.030,14.0232,11,0
514851.000,3767760.000,-3129.760,14.0088,34,0
523131.000,3766170.000,-5466.150,13.993,5,0
523360.000,3766230.000,-5522.940,13.979,137,0
550908.000,3748770.000,-19.140,13.9737,174,0
553733.000,3747340.000,-65.338,13.944,146,0
522630.000,3758140.000,-76.971,13.9327,50,0
554613.000,3746860.000,-181.459,13.9205,201,0
520296.000,3759290.000,-23.875,13.9109,189,0
608297.000,3701630.000,-64.600,13.9046,114,0
513940.000,3768300.000,-3283.700,13.902,9,0
554068.000,3747180.000,-137.317,13.8994,178,0
605628.000,3704270.000,-61.355,13.8815,322,0
522466.000,3758040.000,-12.981,13.8779,69,0
514032.000,3762800.000,-39.189,13.8709,66,0
522218.000,3758640.000,-133.726,13.855,13,0
608476.000,3701460.000,-64.077,13.8461,141,0
609188.000,3700750.000,-62.827,13.8409,192,0
547199.000,3750460.000,-33.380,13.8232,60,0
607763.000,3702160.000,-64.456,13.812,130,0
523074.000,3766240.000,-5577.630,13.7962,25,0
522431.000,3758210.000,-51.925,13.794,87,0
514024.000,3768190.000,-3215.170,13.7819,1,0
608119.000,3701810.000,-64.600,13.7459,122,0
607052.000,3702860.000,-63.437,13.7157,127,0
608832.000,3701110.000,-63.455,13.7068,151,0
556504.000,3745610.000,-44.675,13.6875,108,0
513760.000,3767880.000,-2825.080,13.6853,4,0
550906.000,3748800.000,-76.562,13.6349,122,0
558447.000,3744460.000,-48.858,13.6266,163,0
609010.000,3700930.000,-63.455,13.6234,109,0
551926.000,3748340.000,-132.854,13.6232,240,0
550458.000,3749020.000,-95.699,13.5992,170,0
547463.000,3750340.000,-33.380,13.5893,127,0
607941.000,3701980.000,-64.456,13.585,73,0
514478.000,3767920.000,-3135.450,13.5736,20,0
520823.000,3759580.000,-176.012,13.5156,37,0
520112.000,3759630.000,-128.643,13.502,155,0
556402.000,3745690.000,-85.523,13.4969,144,0
514170.000,3768160.000,-3243.650,13.4875,2,0
554420.000,3746930.000,-79.211,13.4834,175,0
549627.000,3749430.000,-123.368,13.4524,282,0
604562.000,3705320.000,-62.069,13.4517,91,0
608654.000,3701280.000,-64.077,13.4475,90,0
522874.000,3758230.000,-152.355,13.4445,44,0
554835.000,3746650.000,-43.140,13.4286,141,0
607229.000,3702690.000,-63.437,13.4059,12,0
520577.000,3759500.000,-119.087,13.3727,141,0
548485.000,3749910.000,-68.168,13.3545,104,0
607585.000,3702340.000,-63.960,13.3538,24,0
554192.000,3747040.000,-19.803,13.3445,94,0
557524.000,3745000.000,-47.279,13.337,160,0
604917.000,3704970.000,-61.239,13.3166,32,0
554742.000,3746880.000,-358.780,13.3139,43,0
608770.000,3701220.000,-127.532,13.3064,11,0
557222.000,3745210.000,-93.666,13.2964,228,0
554822.000,3746740.000,-192.062,13.2914,25,0
556036.000,3746130.000,-470.087,13.2553,200,0
551292.000,3748600.000,-19.140,13.241,211,0
521773.000,3758450.000,-17.531,13.2372,53,0
550021.000,3749200.000,-27.798,13.2356,22,0
550456.000,3748990.000,-23.925,13.2279,57,0
554760.000,3746680.000,-19.803,13.2197,44,0
556540.000,3745680.000,-219.548,13.2135,36,0
604384.000,3705500.000,-62.853,13.2112,39,0
607701.000,3702280.000,-128.416,13.21,9,0
555455.000,3746270.000,-65.964,13.1879,145,0
609722.000,3700230.000,-62.200,13.1861,107,0
513772.000,3763120.000,-78.847,13.1856,13,0
554208.000,3747210.000,-353.255,13.1788,106,0
515602.000,3776630.000,-11252.500,13.1455,14,0
550682.000,3748880.000,-19.140,13.1355,95,0
523694.000,3766070.000,-5199.170,13.1184,55,0
515435.000,3776540.000,-11091.500,13.0842,8,0
520608.000,3759640.000,-172.042,13.0708,61,0
558996.000,3744160.000,-100.079,13.0627,213,0
520133.000,3759770.000,-190.231,13.0332,87,0
550607.000,3748920.000,-43.065,13.0171,155,0
556277.000,3745750.000,-40.848,13.0017,109,0
558373.000,3744580.000,-195.432,12.9911,57,0
609366.000,3700580.000,-62.827,12.9766,52,0
560937.000,3742980.000,-52.133,12.9583,192,0
520231.000,3759530.000,-95.501,12.9519,69,0
556560.000,3745730.000,-323.076,12.9322,35,0
551798.000,3748370.000,-68.451,12.9194,109,0
555376.000,3746450.000,-297.464,12.9032,68,0
555135.000,3746450.000,-23.337,12.8636,78,0
555292.000,3746350.000,-30.358,12.8542,77,0
549052.000,3749640.000,-33.117,12.8472,151,0
554937.000,3746700.000,-256.283,12.8414,116,0
610257.000,3699700.000,-60.954,12.8407,222,0
555047.000,3746560.000,-123.707,12.8367,118,0
560811.000,3743170.000,-260.511,12.8334,162,0
524578.000,3772310.000,-11917.800,12.8013,44,0
554309.000,3747120.000,-307.719,12.7973,58,0
555933.000,3745980.000,-76.455,12.7907,141,0
559674.000,3743730.000,-51.226,12.7687,160,0
553643.000,3747760.000,-695.476,12.7683,118,0
549960.000,3749280.000,-142.035,12.7636,34,0
557753.000,3744870.000,-48.071,12.7517,124,0
556722.000,3745480.000,-44.675,12.7453,86,0
561580.000,3742630.000,-104.886,12.7445,177,0
558004.000,3744720.000,-48.071,12.7437,121,0
556641.000,3745600.000,-178.700,12.7425,50,0
556840.000,3745430.000,-91.062,12.7194,149,0
548592.000,3749850.000,-33.849,12.7132,63,0
557654.000,3744950.000,-95.350,12.7043,108,0
522060.000,3759110.000,-250.260,12.6945,9,0
548032.000,3750110.000,-69.487,12.6786,114,0
547489.000,3750740.000,-823.712,12.673,204,0
609900.000,3700050.000,-61.572,12.664,143,0
558566.000,3744410.000,-98.503,12.6236,122,0
552685.000,3747920.000,-60.756,12.6234,97,0
547623.000,3750320.000,-125.586,12.6195,86,0
561722.000,3742630.000,-262.531,12.6194,90,0
549542.000,3749490.000,-156.485,12.5962,72,0
557801.000,3745100.000,-534.900,12.593,123,0
553637.000,3747430.000,-125.952,12.5846,43,0
557106.000,3745250.000,-46.387,12.5746,121,0
563971.000,3741280.000,-217.996,12.5692,178,0
547910.000,3750150.000,-35.168,12.5687,186,0
557429.000,3745220.000,-344.387,12.5569,72,0
609838.000,3700170.000,-123.772,12.5536,27,0
551061.000,3748700.000,-19.140,12.5535,122,0
558134.000,3744670.000,-96.929,12.5515,154,0
557393.000,3745180.000,-235.503,12.5405,70,0
549838.000,3749280.000,-27.798,12.5389,169,0
548135.000,3750050.000,-34.319,12.5381,140,0
555798.000,3746040.000,-35.607,12.5244,142,0
555268.000,3746430.000,-144.768,12.5223,19,0
553037.000,3747850.000,-237.971,12.5192,26,0
548821.000,3749750.000,-33.849,12.5064,160,0
552620.000,3748060.000,-243.026,12.4957,40,0
555175.000,3746620.000,-389.789,12.4917,55,0
555451.000,3746670.000,-789.870,12.4912,94,0
550307.000,3749280.000,-450.732,12.4859,73,0
558663.000,3744330.000,-49.645,12.451,87,0
556189.000,3745870.000,-163.393,12.4406,83,0
557926.000,3744840.000,-192.283,12.4375,58,0
559097.000,3744340.000,-550.821,12.4348,83,0
549079.000,3749700.000,-166.316,12.4238,122,0
564041.000,3741140.000,-54.499,12.401,68,0
549286.000,3749540.000,-33.117,12.381,130,0
551350.000,3748610.000,-92.753,12.3796,96,0
561668.000,3742550.000,-52.548,12.3663,61,0
555259.000,3746480.000,-228.792,12.3574,33,0
610079.000,3699880.000,-61.572,12.345,112,0
562194.000,3742330.000,-211.032,12.3403,161,0
559435.000,3744180.000,-617.742,12.3292,131,0
548943.000,3749710.000,-66.965,12.3247,141,0
548405.000,3750340.000,-822.235,12.3229,163,0
549388.000,3749730.000,-488.774,12.3224,59,0
558878.000,3744200.000,-49.645,12.3155,132,0
552089.000,3748360.000,-326.064,12.3053,119,0
560873.000,3743200.000,-375.519,12.2938,17,0
552946.000,3747930.000,-298.727,12.2786,22,0
549409.000,3749500.000,-63.959,12.2758,90,0
549494.000,3749450.000,-30.842,12.2728,74,0
571523.000,3736600.000,-294.096,12.261,249,0
558232.000,3744580.000,-48.858,12.2481,84,0
554515.000,3746950.000,-230.101,12.2456,6,0
552896.000,3747820.000,-59.493,12.2235,105,0
556976.000,3745430.000,-230.223,12.2161,90,0
553501.000,3747730.000,-494.736,12.2083,192,0
561373.000,3742810.000,-209.353,12.1883,153,0
